month,country_or_territory,currency,code,rate
2021-04,Brazil,Real,BRL,7.6298
2021-04,Brunei,Dollar,BND,1.8457
2021-04,Bulgaria,Lev,BGN,2.2684
2021-04,Burkina Faso,CFA Franc,XOF,760.7700
2021-04,Burundi,Franc,BIF,2682.0100
2021-04,Cambodia,Riel,KHR,5559.7400
2021-04,Cameroon Republic,CFA Franc,XAF,760.7700
2021-04,Canada,Dollar,CAD,1.7224
2021-04,Cape Verde Islands,Escudo,CVE,128.4100
2021-04,Cayman Islands,Dollar,KYD,1.1251
2021-04,Central African Republic,CFA Franc,XAF,760.7700
2021-04,Chad,CFA Franc,XAF,760.7700
2021-04,Chile,Peso,CLP,999.2700
2021-04,China,Yuan,CNY,8.9505
2021-04,Colombia,Peso,COP,4994.4700
2021-04,Comoros,Franc,KMF,570.5800
2021-04,Congo (Brazaville),CFA Franc,XAF,760.7700
2021-04,Congo (DemRep),Congo Fr,CDF,2696.0300
2021-04,Costa Rica,Colon,CRC,838.6200
